Accuracy,Precision,Recall,F1-score,ROC AUC,Jaccard Similarity Coefficient,epoch
0.864,0.8815757711967667,0.8310101212828345,0.8283349541518774,0.13810975609756093,0.002506265664160401,50
0.863,0.8809232528498189,0.8297756241015287,0.8241827707856766,0.12490176151761515,0.002506265664160401,100
0.844,0.8700021560736275,0.8102379901853423,0.8056942631667363,0.15056910569105686,0.002506265664160401,150
0.841,0.8673555954737713,0.8073642526909339,0.8057696149326572,0.16472899728997287,0.002506265664160401,200
0.762,0.7898135355054118,0.7437783299684215,0.7305690159111355,0.16334688346883464,0.002506265664160401,250
0.841,0.8210959212392769,0.8178181772930181,0.8183622497410921,0.22769308943089428,0.002506265664160401,300
0.851,0.8306986069113191,0.8264104668002012,0.8280060360677014,0.2125914634146342,0.002506265664160401,350
0.863,0.8696413716051806,0.8320726781113488,0.8326467085765904,0.1561720867208672,0.002506265664160401,400
0.853,0.8484653972466738,0.8209061023703048,0.8175740864826597,0.13929200542005418,0.002506265664160401,450
0.813,0.8297593587518662,0.792953525723987,0.7914782080172462,0.15424796747967479,0.002506265664160401,500
0.775,0.7677015250544663,0.7681112279206704,0.7614320669075108,0.2165718157181572,0.002506265664160401,550
0.831,0.8122381846564167,0.8073743308338743,0.8056239151212626,0.19567750677506776,0.002506265664160401,600
0.837,0.825633433848672,0.8053534564346803,0.8056930875701372,0.1660840108401084,0.002506265664160401,650
0.856,0.8393736032057694,0.8267542134402671,0.8254374705511467,0.14485433604336045,0.002506265664160401,700
0.739,0.7439003448797067,0.7193196321029836,0.7119996347276392,0.22742886178861788,0.002506265664160401,750
0.723,0.7941136269483421,0.6859750478852824,0.6784905361536364,0.10815718157181572,0.002506265664160401,800
0.83,0.8112987051148876,0.8043938891344545,0.8038669438473267,0.1744376693766938,0.002506265664160401,850
0.86,0.8558221819529017,0.8297546202826526,0.8318364228263289,0.15241192411924118,0.002506265664160401,900
0.87,0.8746320866246065,0.8423706460232319,0.8414477398216107,0.14027100271002707,0.002506265664160401,950
0.806,0.8460571646062796,0.7673390948321062,0.7664053654001555,0.26363482384823844,0.002506265664160401,1000
0.855,0.8421818730657961,0.828767354515685,0.8296166892555815,0.17315040650406505,0.002506265664160401,1050
0.822,0.8109530980811502,0.7945351736148444,0.7943376430722868,0.19175135501355017,0.002506265664160401,1100
