Accuracy,Precision,Recall,F1-score,ROC AUC,Jaccard Similarity Coefficient,epoch
0.87,0.8776949887762239,0.8400425146974302,0.8392652886114048,0.14758807588075878,0.002506265664160401,50
0.855,0.8520573133636675,0.8256723418856513,0.8245878964759236,0.15763550135501353,0.002506265664160401,100
0.873,0.8761639591790841,0.8427057261904288,0.8383041612124931,0.12191395663956638,0.002506265664160401,150
0.859,0.841540660939718,0.8293836437414633,0.8291075023658439,0.15263211382113823,0.002506265664160401,200
0.639,0.7147707354731558,0.6327818395647251,0.5960463584267637,0.388099593495935,0.002506265664160401,250
0.801,0.7607085960646547,0.7631283916252855,0.7599396019669686,0.12753048780487805,0.002506265664160401,300
0.848,0.8605516390224922,0.8202508392368619,0.8137202233065537,0.1212262872628726,0.002506265664160401,350
0.853,0.8452491920687738,0.8266927092251677,0.8274718383164184,0.1638617886178862,0.002506265664160401,400
0.862,0.8565916905301592,0.8333723689642311,0.8322777368893426,0.14430894308943087,0.002506265664160401,450
0.662,0.8016358059422473,0.6856835237461888,0.6656853189072898,0.16425135501355012,0.002506265664160401,500
0.818,0.838040173334291,0.8010065161150735,0.7988217970745835,0.12790650406504064,0.002506265664160401,550
0.868,0.8532944689381319,0.8422152063480686,0.8432031412523404,0.15942411924119243,0.002506265664160401,600
0.761,0.7826658748764495,0.752633878356118,0.7529457435036085,0.20245596205962063,0.002506265664160401,650
0.798,0.7750630645587512,0.7807356301012924,0.776331912125962,0.20974254742547427,0.002506265664160401,700
0.829,0.8175368868269473,0.8032714654157426,0.804715533970907,0.20403116531165316,0.002506265664160401,750
0.841,0.821778398722073,0.8105127627717316,0.8040823197982915,0.13933943089430895,0.002506265664160401,800
0.698,0.7959353610255222,0.7188607722970202,0.7079123113592083,0.17251016260162602,0.002506265664160401,850
0.816,0.7987705434702009,0.7927823764904833,0.7937034237911829,0.2280962059620596,0.002506265664160401,900
0.812,0.8140321434219544,0.7920820281856157,0.7934681165687855,0.2018326558265583,0.002506265664160401,950
