Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MSL,ASW,LWK,ESN,GWD,ACB,YRI,synthetic_percentage,samples_and_percentage,model_name,accuracy,f1_score
41.0,41.0,41.0,0.25,0.1702,0.5208,0.3467,0.3881,0.32,0.2778,0.9,"950
90%",NN,0.3383458646616541,0.3247928921753945
42.0,42.0,42.0,0.1739,0.1972,0.5684,0.3797,0.4132,0.1,0.25,0.0,"0
0%",NN,0.3383458646616541,0.2974981672343278
43.0,43.0,43.0,0.3871,0.1569,0.566,0.3548,0.433,0.2449,0.3243,0.9,"950
90%",NN,0.3834586466165413,0.3524354198639586
44.0,44.0,44.0,0.0,0.2222,0.2623,0.4,0.3136,0.0,0.0,0.0,"0
0%",NN,0.2481203007518796,0.1711538037461905
45.0,45.0,45.0,0.3158,0.2909,0.5814,0.3667,0.4909,0.303,0.2785,0.9,"950
90%",NN,0.3909774436090225,0.3753115695278284
46.0,46.0,46.0,0.2637,0.0952,0.5243,0.3415,0.5111,0.3662,0.2766,0.0,"0
0%",NN,0.3646616541353383,0.3398019510227504
47.0,47.0,47.0,0.2424,0.25,0.549,0.3836,0.4419,0.2571,0.2759,0.9,"950
90%",NN,0.3609022556390977,0.34283869790395
48.0,48.0,48.0,0.0,0.2857,0.4898,0.0571,0.4348,0.0541,0.2992,0.0,"0
0%",NN,0.3195488721804511,0.2315289031999132
49.0,49.0,49.0,0.3103,0.2353,0.549,0.3714,0.4359,0.3038,0.3191,0.9,"950
90%",NN,0.3759398496240601,0.3607044235610076
50.0,50.0,50.0,0.1667,0.186,0.5091,0.2545,0.404,0.0,0.2791,0.0,"0
0%",NN,0.3082706766917293,0.257065673344743
51.0,51.0,51.0,0.254,0.1667,0.5606,0.338,0.4657,0.3158,0.2029,0.9,"950
90%",NN,0.3646616541353383,0.3291015141887783
52.0,52.0,52.0,0.0,0.0,0.3235,0.0,0.3559,0.2535,0.2485,0.0,"0
0%",NN,0.2330827067669172,0.1687862074248959
53.0,53.0,53.0,0.4444,0.1778,0.5979,0.325,0.5618,0.3243,0.2381,0.9,"950
90%",NN,0.4022556390977443,0.38133966882581
54.0,54.0,54.0,0.0526,0.1026,0.5,0.4156,0.4628,0.1463,0.3125,0.0,"0
0%",NN,0.3458646616541353,0.284633068266556
55.0,55.0,55.0,0.274,0.2963,0.4884,0.3768,0.4828,0.3099,0.3261,0.9,"950
90%",NN,0.3721804511278195,0.3648796169147355
56.0,56.0,56.0,0.3509,0.2759,0.4944,0.3103,0.46,0.1395,0.3465,0.0,"0
0%",NN,0.3646616541353383,0.3396368126629152
57.0,57.0,57.0,0.3143,0.2128,0.5657,0.2963,0.4651,0.2817,0.2308,0.9,"950
90%",NN,0.3571428571428571,0.3380828834813504
58.0,58.0,58.0,0.1786,0.1818,0.4533,0.3871,0.383,0.16,0.2308,0.0,"0
0%",NN,0.3045112781954887,0.282081096012854
